TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
35,1000,,2,LOC,LURE,stimuli/fractals/133a.jpg,375.0,225.0,85.0,LLP,stimuli/fractals/133a.jpg,375.0,75.0,stimuli/fractals/133a.jpg,stimuli/fractals/133b.jpg,stimuli/fractals/133c.jpg,375.0,75.0,225.0,75.0,375.0,225.0,-225.0,225.0
36,1000,,2,LOC,FOIL,stimuli/fractals/84b.jpg,375.0,225.0,43.0,OLP,stimuli/fractals/84b.jpg,-375.0,-75.0,stimuli/fractals/84b.jpg,stimuli/fractals/84c.jpg,stimuli/fractals/84a.jpg,-375.0,-75.0,-375.0,-225.0,-375.0,75.0,375.0,225.0
37,2000,,3,OBJ,FOIL,stimuli/fractals/112b.jpg,225.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
38,1000,,3,OBJ,FOIL,stimuli/fractals/7a.jpg,375.0,-75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
39,6000,,3,OBJ,LURE,stimuli/fractals/94b.jpg,375.0,-75.0,94.0,LLP,stimuli/fractals/94c.jpg,375.0,-75.0,stimuli/fractals/94c.jpg,stimuli/fractals/94a.jpg,stimuli/fractals/94b.jpg,375.0,-75.0,375.0,75.0,375.0,-225.0,-225.0,225.0
40,2000,,3,OBJ,TARGET,stimuli/fractals/115b.jpg,-75.0,225.0,97.0,LLP,stimuli/fractals/115b.jpg,-75.0,225.0,stimuli/fractals/115b.jpg,stimuli/fractals/115c.jpg,stimuli/fractals/115a.jpg,-75.0,225.0,75.0,225.0,-75.0,75.0,225.0,-225.0
41,1000,,3,OBJ,TARGET,stimuli/fractals/136c.jpg,375.0,225.0,58.0,ERP,stimuli/fractals/136c.jpg,375.0,225.0,stimuli/fractals/136c.jpg,stimuli/fractals/136b.jpg,stimuli/fractals/136a.jpg,375.0,225.0,225.0,225.0,375.0,75.0,-225.0,-75.0
42,3000,,3,OBJ,LURE,stimuli/fractals/38c.jpg,-75.0,225.0,44.0,OLP,stimuli/fractals/38a.jpg,-75.0,225.0,stimuli/fractals/38a.jpg,stimuli/fractals/38b.jpg,stimuli/fractals/38c.jpg,-75.0,225.0,-225.0,225.0,75.0,225.0,375.0,-75.0
43,1000,,3,OBJ,TARGET,stimuli/fractals/29a.jpg,375.0,-225.0,101.0,LLP,stimuli/fractals/29a.jpg,375.0,-225.0,stimuli/fractals/29a.jpg,stimuli/fractals/29c.jpg,stimuli/fractals/29b.jpg,375.0,-225.0,225.0,-225.0,375.0,-75.0,-225.0,75.0
44,5000,,3,OBJ,TARGET,stimuli/fractals/4a.jpg,-75.0,75.0,71.0,ERP,stimuli/fractals/4a.jpg,-75.0,75.0,stimuli/fractals/4a.jpg,stimuli/fractals/4c.jpg,stimuli/fractals/4b.jpg,-75.0,75.0,-75.0,225.0,-75.0,-75.0,375.0,-225.0
45,1000,,3,OBJ,TARGET,stimuli/fractals/96a.jpg,-375.0,-75.0,108.0,LLP,stimuli/fractals/96a.jpg,-375.0,-75.0,stimuli/fractals/96a.jpg,stimuli/fractals/96c.jpg,stimuli/fractals/96b.jpg,-375.0,-75.0,-375.0,75.0,-225.0,-75.0,225.0,225.0
46,3000,,3,OBJ,TARGET,stimuli/fractals/118a.jpg,-225.0,-225.0,117.0,LLP,stimuli/fractals/118a.jpg,-225.0,-225.0,stimuli/fractals/118a.jpg,stimuli/fractals/118c.jpg,stimuli/fractals/118b.jpg,-225.0,-225.0,-75.0,-225.0,-225.0,-75.0,375.0,-75.0
47,1000,,3,OBJ,LURE,stimuli/fractals/75a.jpg,225.0,-75.0,53.0,OLP,stimuli/fractals/75c.jpg,225.0,-75.0,stimuli/fractals/75c.jpg,stimuli/fractals/75b.jpg,stimuli/fractals/75a.jpg,225.0,-75.0,225.0,-225.0,375.0,-75.0,-375.0,225.0
48,1000,,3,OBJ,LURE,stimuli/fractals/76a.jpg,225.0,225.0,54.0,OLP,stimuli/fractals/76b.jpg,225.0,225.0,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,225.0,225.0,75.0,225.0,225.0,75.0,-225.0,-225.0
49,3000,,3,OBJ,FOIL,stimuli/fractals/35b.jpg,225.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
50,2000,,3,OBJ,FOIL,stimuli/fractals/13a.jpg,225.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
51,3000,,3,OBJ,LURE,stimuli/fractals/48c.jpg,75.0,225.0,79.0,ERP,stimuli/fractals/48b.jpg,75.0,225.0,stimuli/fractals/48b.jpg,stimuli/fractals/48a.jpg,stimuli/fractals/48c.jpg,75.0,225.0,-75.0,225.0,75.0,75.0,-375.0,-225.0
52,1000,,3,OBJ,LURE,stimuli/fractals/3c.jpg,225.0,75.0,64.0,OLP,stimuli/fractals/3b.jpg,225.0,75.0,stimuli/fractals/3b.jpg,stimuli/fractals/3a.jpg,stimuli/fractals/3c.jpg,225.0,75.0,225.0,-75.0,225.0,225.0,-225.0,-225.0
53,2000,,3,OBJ,LURE,stimuli/fractals/60a.jpg,75.0,225.0,91.0,ERP,stimuli/fractals/60c.jpg,75.0,225.0,stimuli/fractals/60c.jpg,stimuli/fractals/60b.jpg,stimuli/fractals/60a.jpg,75.0,225.0,-75.0,225.0,225.0,225.0,-375.0,-225.0
54,3000,,3,OBJ,LURE,stimuli/fractals/144b.jpg,375.0,225.0,65.0,OLP,stimuli/fractals/144c.jpg,375.0,225.0,stimuli/fractals/144c.jpg,stimuli/fractals/144a.jpg,stimuli/fractals/144b.jpg,375.0,225.0,375.0,75.0,225.0,225.0,-375.0,-75.0
55,2000,,4,LOC,LURE,stimuli/fractals/110b.jpg,225.0,-75.0,118.0,LLP,stimuli/fractals/110b.jpg,225.0,-225.0,stimuli/fractals/110b.jpg,stimuli/fractals/110c.jpg,stimuli/fractals/110a.jpg,225.0,-225.0,75.0,-225.0,225.0,-75.0,-375.0,75.0
56,4000,,4,LOC,LURE,stimuli/fractals/56b.jpg,-75.0,-75.0,68.0,OLP,stimuli/fractals/56b.jpg,-75.0,75.0,stimuli/fractals/56b.jpg,stimuli/fractals/56c.jpg,stimuli/fractals/56a.jpg,-75.0,75.0,-225.0,75.0,-75.0,-75.0,375.0,-225.0
57,4000,,4,LOC,LURE,stimuli/fractals/59c.jpg,-75.0,-225.0,92.0,ERP,stimuli/fractals/59c.jpg,-225.0,-225.0,stimuli/fractals/59c.jpg,stimuli/fractals/59a.jpg,stimuli/fractals/59b.jpg,-225.0,-225.0,-225.0,-75.0,-75.0,-225.0,375.0,225.0
58,1000,,4,LOC,FOIL,stimuli/fractals/62c.jpg,-375.0,225.0,70.0,OLP,stimuli/fractals/62c.jpg,75.0,-225.0,stimuli/fractals/62c.jpg,stimuli/fractals/62b.jpg,stimuli/fractals/62a.jpg,75.0,-225.0,75.0,-75.0,-75.0,-225.0,-375.0,225.0
