TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
77.0,1000.0,1.0,ERP,2.0,0.0,stimuli/fractals/27b.jpg,-75.0,-75.0,stimuli/fractals/27b.jpg,stimuli/fractals/27c.jpg,stimuli/fractals/27a.jpg,-75,-75,-225,-75,-75,75,375,225
78.0,7000.0,1.0,OLP,1.0,4.0,stimuli/fractals/121b.jpg,-75.0,225.0,stimuli/fractals/121b.jpg,stimuli/fractals/121a.jpg,stimuli/fractals/121c.jpg,-75,225,75,225,-75,75,375,-225
79.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/134a.jpg,-375.0,-75.0,stimuli/fractals/134a.jpg,stimuli/fractals/134b.jpg,stimuli/fractals/134c.jpg,-375,-75,-375,75,-225,-75,375,-225
80.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/80a.jpg,-225.0,-75.0,stimuli/fractals/80c.jpg,stimuli/fractals/80a.jpg,stimuli/fractals/80b.jpg,-225,-75,-75,-75,-375,-75,375,75
81.0,1000.0,1.0,LLP,2.0,0.0,stimuli/fractals/85c.jpg,375.0,225.0,stimuli/fractals/85c.jpg,stimuli/fractals/85a.jpg,stimuli/fractals/85b.jpg,225,225,375,225,225,75,-75,-225
82.0,4000.0,1.0,ERP,2.0,0.0,stimuli/fractals/134a.jpg,-375.0,-75.0,stimuli/fractals/134a.jpg,stimuli/fractals/134b.jpg,stimuli/fractals/134c.jpg,-375,-75,-375,75,-225,-75,375,-225
83.0,1000.0,1.0,OLP,2.0,0.0,stimuli/fractals/121a.jpg,-75.0,225.0,stimuli/fractals/121b.jpg,stimuli/fractals/121a.jpg,stimuli/fractals/121c.jpg,-75,225,75,225,-75,75,375,-225
84.0,3000.0,1.0,BL,0.0,0.0,stimuli/fractals/64a.jpg,225.0,-75.0,stimuli/fractals/64a.jpg,stimuli/fractals/64b.jpg,stimuli/fractals/64c.jpg,225,-75,225,75,75,-75,-375,-225
85.0,500.0,2.0,LLP,1.0,1.0,stimuli/fractals/105c.jpg,225.0,75.0,stimuli/fractals/105c.jpg,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,225,75,225,225,375,75,-225,-225
86.0,3000.0,2.0,OLP,1.0,2.0,stimuli/fractals/26b.jpg,-225.0,225.0,stimuli/fractals/26b.jpg,stimuli/fractals/26a.jpg,stimuli/fractals/26c.jpg,-225,225,-375,225,-225,75,75,-225
87.0,2000.0,2.0,LLP,2.0,0.0,stimuli/fractals/105c.jpg,225.0,225.0,stimuli/fractals/105c.jpg,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,225,75,225,225,375,75,-225,-225
88.0,3000.0,2.0,OLP,1.0,1.0,stimuli/fractals/44c.jpg,-75.0,-75.0,stimuli/fractals/44c.jpg,stimuli/fractals/44a.jpg,stimuli/fractals/44b.jpg,-75,-75,-75,75,-75,-225,375,225
89.0,3000.0,2.0,OLP,2.0,0.0,stimuli/fractals/26a.jpg,-225.0,225.0,stimuli/fractals/26b.jpg,stimuli/fractals/26a.jpg,stimuli/fractals/26c.jpg,-225,225,-375,225,-225,75,75,-225
90.0,4000.0,2.0,OLP,2.0,0.0,stimuli/fractals/44a.jpg,-75.0,-75.0,stimuli/fractals/44c.jpg,stimuli/fractals/44a.jpg,stimuli/fractals/44b.jpg,-75,-75,-75,75,-75,-225,375,225
91.0,3000.0,2.0,ERP,1.0,3.0,stimuli/fractals/144b.jpg,-375.0,75.0,stimuli/fractals/144b.jpg,stimuli/fractals/144a.jpg,stimuli/fractals/144c.jpg,-375,75,-375,225,-225,75,225,-225
92.0,2000.0,2.0,ERP,1.0,3.0,stimuli/fractals/55b.jpg,225.0,75.0,stimuli/fractals/55b.jpg,stimuli/fractals/55c.jpg,stimuli/fractals/55a.jpg,225,75,225,225,375,75,-375,-75
93.0,8000.0,2.0,OLP,1.0,5.0,stimuli/fractals/30a.jpg,-75.0,-225.0,stimuli/fractals/30a.jpg,stimuli/fractals/30c.jpg,stimuli/fractals/30b.jpg,-75,-225,75,-225,-225,-225,-375,225
94.0,1000.0,2.0,LLP,1.0,5.0,stimuli/fractals/72a.jpg,-375.0,225.0,stimuli/fractals/72a.jpg,stimuli/fractals/72b.jpg,stimuli/fractals/72c.jpg,-375,225,-375,75,-225,225,375,-225
95.0,500.0,2.0,ERP,2.0,0.0,stimuli/fractals/144b.jpg,-375.0,75.0,stimuli/fractals/144b.jpg,stimuli/fractals/144a.jpg,stimuli/fractals/144c.jpg,-375,75,-375,225,-225,75,225,-225
96.0,2000.0,2.0,ERP,2.0,0.0,stimuli/fractals/55b.jpg,225.0,75.0,stimuli/fractals/55b.jpg,stimuli/fractals/55c.jpg,stimuli/fractals/55a.jpg,225,75,225,225,375,75,-375,-75
97.0,2000.0,2.0,LLP,1.0,4.0,stimuli/fractals/83c.jpg,225.0,75.0,stimuli/fractals/83c.jpg,stimuli/fractals/83a.jpg,stimuli/fractals/83b.jpg,225,75,75,75,225,225,-225,-225
98.0,6000.0,2.0,ERP,1.0,4.0,stimuli/fractals/66a.jpg,375.0,75.0,stimuli/fractals/66a.jpg,stimuli/fractals/66c.jpg,stimuli/fractals/66b.jpg,375,75,375,-75,225,75,-375,-225
99.0,4000.0,2.0,OLP,2.0,0.0,stimuli/fractals/30c.jpg,-75.0,-225.0,stimuli/fractals/30a.jpg,stimuli/fractals/30c.jpg,stimuli/fractals/30b.jpg,-75,-225,75,-225,-225,-225,-375,225
100.0,3000.0,2.0,LLP,2.0,0.0,stimuli/fractals/72a.jpg,-375.0,75.0,stimuli/fractals/72a.jpg,stimuli/fractals/72b.jpg,stimuli/fractals/72c.jpg,-375,225,-375,75,-225,225,375,-225
101.0,6000.0,2.0,LLP,1.0,2.0,stimuli/fractals/76a.jpg,225.0,-75.0,stimuli/fractals/76a.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76b.jpg,225,-75,225,75,225,-225,-375,225
102.0,2000.0,2.0,LLP,2.0,0.0,stimuli/fractals/83c.jpg,75.0,75.0,stimuli/fractals/83c.jpg,stimuli/fractals/83a.jpg,stimuli/fractals/83b.jpg,225,75,75,75,225,225,-225,-225
103.0,1000.0,2.0,ERP,2.0,0.0,stimuli/fractals/66a.jpg,375.0,75.0,stimuli/fractals/66a.jpg,stimuli/fractals/66c.jpg,stimuli/fractals/66b.jpg,375,75,375,-75,225,75,-375,-225
104.0,3000.0,2.0,LLP,2.0,0.0,stimuli/fractals/76a.jpg,225.0,75.0,stimuli/fractals/76a.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76b.jpg,225,-75,225,75,225,-225,-375,225
105.0,1000.0,2.0,BL,0.0,0.0,stimuli/fractals/64a.jpg,225.0,-75.0,stimuli/fractals/64a.jpg,stimuli/fractals/64b.jpg,stimuli/fractals/64c.jpg,225,-75,225,75,75,-75,-375,-225
106.0,1000.0,2.0,ERP,1.0,4.0,stimuli/fractals/77a.jpg,225.0,-225.0,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,225,-225,75,-225,225,-75,-375,75
107.0,1000.0,2.0,OLP,1.0,5.0,stimuli/fractals/38a.jpg,-225.0,75.0,stimuli/fractals/38a.jpg,stimuli/fractals/38b.jpg,stimuli/fractals/38c.jpg,-225,75,-375,75,-75,75,225,-225
108.0,5000.0,2.0,LLP,1.0,5.0,stimuli/fractals/5c.jpg,375.0,-225.0,stimuli/fractals/5c.jpg,stimuli/fractals/5b.jpg,stimuli/fractals/5a.jpg,375,-225,375,-75,225,-225,-375,225
109.0,2000.0,2.0,OLP,1.0,2.0,stimuli/fractals/145a.jpg,225.0,-75.0,stimuli/fractals/145a.jpg,stimuli/fractals/145b.jpg,stimuli/fractals/145c.jpg,225,-75,225,-225,75,-75,-375,-225
