TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
33,1000,1,2,LOC,LLP,1,3,stimuli/fractals/36a.jpg,-0.1953125,-0.06944444444444445,stimuli/fractals/36a.jpg,stimuli/fractals/36c.jpg,stimuli/fractals/36b.jpg,-0.1953125,-0.06944444444444445,-0.1953125,-0.2083333333333333,-0.1953125,0.06944444444444445,0.1953125,0.2083333333333333
34,3000,1,2,LOC,BL,0,0,stimuli/fractals/92a.jpg,0.1171875,0.06944444444444445,stimuli/fractals/92a.jpg,stimuli/fractals/92c.jpg,stimuli/fractals/92b.jpg,0.1171875,0.06944444444444445,0.1953125,0.06944444444444445,0.1171875,-0.06944444444444445,-0.1953125,0.2083333333333333
35,7000,1,2,LOC,ERP,1,2,stimuli/fractals/66c.jpg,-0.1953125,-0.06944444444444445,stimuli/fractals/66c.jpg,stimuli/fractals/66b.jpg,stimuli/fractals/66a.jpg,-0.1953125,-0.06944444444444445,-0.1171875,-0.06944444444444445,-0.1953125,0.06944444444444445,0.0390625,0.2083333333333333
36,1000,1,2,LOC,LLP,1,4,stimuli/fractals/114a.jpg,-0.0390625,-0.2083333333333333,stimuli/fractals/114a.jpg,stimuli/fractals/114b.jpg,stimuli/fractals/114c.jpg,-0.0390625,-0.2083333333333333,0.0390625,-0.2083333333333333,-0.0390625,-0.06944444444444445,0.1953125,0.2083333333333333
37,1000,1,2,LOC,LLP,2,0,stimuli/fractals/36a.jpg,-0.1953125,-0.2083333333333333,stimuli/fractals/36a.jpg,stimuli/fractals/36c.jpg,stimuli/fractals/36b.jpg,-0.1953125,-0.06944444444444445,-0.1953125,-0.2083333333333333,-0.1953125,0.06944444444444445,0.1953125,0.2083333333333333
38,3000,1,2,LOC,ERP,2,0,stimuli/fractals/66c.jpg,-0.1953125,-0.06944444444444445,stimuli/fractals/66c.jpg,stimuli/fractals/66b.jpg,stimuli/fractals/66a.jpg,-0.1953125,-0.06944444444444445,-0.1171875,-0.06944444444444445,-0.1953125,0.06944444444444445,0.0390625,0.2083333333333333
39,2000,1,2,LOC,ERP,1,4,stimuli/fractals/76a.jpg,-0.0390625,0.06944444444444445,stimuli/fractals/76a.jpg,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,-0.0390625,0.06944444444444445,-0.0390625,-0.06944444444444445,-0.1171875,0.06944444444444445,0.1953125,-0.2083333333333333
40,1000,1,2,LOC,BL,0,0,stimuli/fractals/92a.jpg,0.1171875,0.06944444444444445,stimuli/fractals/92a.jpg,stimuli/fractals/92c.jpg,stimuli/fractals/92b.jpg,0.1171875,0.06944444444444445,0.1953125,0.06944444444444445,0.1171875,-0.06944444444444445,-0.1953125,0.2083333333333333
41,3000,1,2,LOC,LLP,2,0,stimuli/fractals/114a.jpg,0.1953125,0.06944444444444445,stimuli/fractals/114a.jpg,stimuli/fractals/114b.jpg,stimuli/fractals/114c.jpg,0.1171875,0.06944444444444445,0.1953125,0.06944444444444445,0.1171875,-0.06944444444444445,-0.1953125,0.2083333333333333
42,3000,1,2,LOC,LLP,1,5,stimuli/fractals/38c.jpg,0.1953125,0.06944444444444445,stimuli/fractals/38c.jpg,stimuli/fractals/38b.jpg,stimuli/fractals/38a.jpg,0.1953125,0.06944444444444445,0.1171875,0.06944444444444445,0.1953125,0.2083333333333333,-0.1953125,-0.2083333333333333
43,2000,1,2,LOC,ERP,1,5,stimuli/fractals/74c.jpg,-0.1953125,0.2083333333333333,stimuli/fractals/74c.jpg,stimuli/fractals/74b.jpg,stimuli/fractals/74a.jpg,-0.1953125,0.2083333333333333,-0.1171875,0.2083333333333333,-0.1953125,0.06944444444444445,0.1171875,0.06944444444444445
44,2000,1,2,LOC,ERP,2,0,stimuli/fractals/76a.jpg,-0.0390625,0.06944444444444445,stimuli/fractals/76a.jpg,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,-0.0390625,0.06944444444444445,-0.0390625,-0.06944444444444445,-0.1171875,0.06944444444444445,0.1953125,-0.2083333333333333
45,1000,1,2,LOC,LLP,1,4,stimuli/fractals/111c.jpg,-0.0390625,-0.06944444444444445,stimuli/fractals/111c.jpg,stimuli/fractals/111a.jpg,stimuli/fractals/111b.jpg,-0.0390625,-0.06944444444444445,0.0390625,-0.06944444444444445,-0.0390625,-0.2083333333333333,0.1953125,0.2083333333333333
46,4000,1,2,LOC,ERP,1,5,stimuli/fractals/73a.jpg,-0.1171875,0.2083333333333333,stimuli/fractals/73a.jpg,stimuli/fractals/73b.jpg,stimuli/fractals/73c.jpg,-0.1171875,0.2083333333333333,-0.0390625,0.2083333333333333,-0.1953125,0.2083333333333333,0.1953125,-0.2083333333333333
47,1000,1,2,LOC,ERP,1,3,stimuli/fractals/54a.jpg,0.0390625,-0.06944444444444445,stimuli/fractals/54a.jpg,stimuli/fractals/54b.jpg,stimuli/fractals/54c.jpg,0.0390625,-0.06944444444444445,-0.0390625,-0.06944444444444445,0.0390625,0.06944444444444445,-0.1953125,0.2083333333333333
48,1000,1,2,LOC,LLP,2,0,stimuli/fractals/38c.jpg,0.1171875,0.06944444444444445,stimuli/fractals/38c.jpg,stimuli/fractals/38b.jpg,stimuli/fractals/38a.jpg,0.1953125,0.06944444444444445,0.1171875,0.06944444444444445,0.1953125,0.2083333333333333,-0.1953125,-0.2083333333333333
49,1000,1,2,LOC,ERP,2,0,stimuli/fractals/74c.jpg,-0.1953125,0.2083333333333333,stimuli/fractals/74c.jpg,stimuli/fractals/74b.jpg,stimuli/fractals/74a.jpg,-0.1953125,0.2083333333333333,-0.1171875,0.2083333333333333,-0.1953125,0.06944444444444445,0.1171875,0.06944444444444445
50,1000,1,2,LOC,LLP,2,0,stimuli/fractals/111c.jpg,0.0390625,-0.06944444444444445,stimuli/fractals/111c.jpg,stimuli/fractals/111a.jpg,stimuli/fractals/111b.jpg,-0.0390625,-0.06944444444444445,0.0390625,-0.06944444444444445,-0.0390625,-0.2083333333333333,0.1953125,0.2083333333333333
51,3000,1,2,LOC,ERP,2,0,stimuli/fractals/54a.jpg,0.0390625,-0.06944444444444445,stimuli/fractals/54a.jpg,stimuli/fractals/54b.jpg,stimuli/fractals/54c.jpg,0.0390625,-0.06944444444444445,-0.0390625,-0.06944444444444445,0.0390625,0.06944444444444445,-0.1953125,0.2083333333333333
