,TrialIndex,BlockNr,TrialType,EncodingStimType,StimType,ImagePresented,Xcoordinate,Ycoordinate,EncodingTrialIndex,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,FILLING
50,51,3,OBJ,ERP,LURE,Stimuli/Fractals/111a.jpg,-300.0,0.0,79.0,Stimuli/Fractals/111c.jpg,-300.0,0.0,0
51,52,3,OBJ,OLP,LURE,Stimuli/Fractals/132c.jpg,212.1320344,212.1320344,64.0,Stimuli/Fractals/132a.jpg,212.1320344,212.1320344,0
52,53,3,OBJ,ERP,LURE,Stimuli/Fractals/26b.jpg,212.1320344,212.1320344,91.0,Stimuli/Fractals/26c.jpg,212.1320344,212.1320344,0
53,54,3,OBJ,OLP,LURE,Stimuli/Fractals/19b.jpg,212.1320344,212.1320344,65.0,Stimuli/Fractals/19c.jpg,212.1320344,212.1320344,0
54,55,4,LOC,LLP,LURE,Stimuli/Fractals/6a.jpg,-212.1320344,212.1320344,118.0,Stimuli/Fractals/6a.jpg,0.0,300.0,0
55,56,4,LOC,OLP,LURE,Stimuli/Fractals/20c.jpg,212.1320344,-212.1320344,68.0,Stimuli/Fractals/20c.jpg,300.0,0.0,0
56,57,4,LOC,ERP,LURE,Stimuli/Fractals/73c.jpg,212.1320344,-212.1320344,92.0,Stimuli/Fractals/73c.jpg,0.0,-300.0,0
57,58,4,LOC,OLP,FOIL,Stimuli/Fractals/41b.jpg,0.0,-300.0,70.0,Stimuli/Fractals/41b.jpg,-212.1320344,212.1320344,0
58,59,4,LOC,LLP,FOIL,Stimuli/Fractals/62a.jpg,212.1320344,212.1320344,121.0,Stimuli/Fractals/62a.jpg,0.0,-300.0,0
59,60,4,LOC,OLP,LURE,Stimuli/Fractals/11c.jpg,-212.1320344,-212.1320344,76.0,Stimuli/Fractals/11c.jpg,-300.0,0.0,0
60,61,4,LOC,LLP,TARGET,Stimuli/Fractals/34b.jpg,212.1320344,-212.1320344,130.0,Stimuli/Fractals/34b.jpg,212.1320344,-212.1320344,0
61,62,4,LOC,OLP,TARGET,Stimuli/Fractals/94a.jpg,212.1320344,212.1320344,78.0,Stimuli/Fractals/94a.jpg,212.1320344,212.1320344,0
62,63,4,LOC,LLP,FOIL,Stimuli/Fractals/7b.jpg,212.1320344,-212.1320344,131.0,Stimuli/Fractals/7b.jpg,-212.1320344,212.1320344,0
63,64,4,LOC,OLP,LURE,Stimuli/Fractals/87a.jpg,-212.1320344,-212.1320344,86.0,Stimuli/Fractals/87a.jpg,0.0,-300.0,0
64,65,4,LOC,OLP,LURE,Stimuli/Fractals/122b.jpg,212.1320344,-212.1320344,88.0,Stimuli/Fractals/122b.jpg,300.0,0.0,0
65,66,4,LOC,OLP,TARGET,Stimuli/Fractals/139a.jpg,0.0,300.0,93.0,Stimuli/Fractals/139a.jpg,0.0,300.0,0
66,67,4,LOC,ERP,LURE,Stimuli/Fractals/102a.jpg,300.0,0.0,98.0,Stimuli/Fractals/102a.jpg,212.1320344,-212.1320344,0
67,68,4,LOC,ERP,LURE,Stimuli/Fractals/64b.jpg,-212.1320344,-212.1320344,106.0,Stimuli/Fractals/64b.jpg,-300.0,0.0,0
68,69,4,LOC,ERP,LURE,Stimuli/Fractals/109c.jpg,212.1320344,-212.1320344,110.0,Stimuli/Fractals/109c.jpg,300.0,0.0,0
69,70,4,LOC,OLP,TARGET,Stimuli/Fractals/16a.jpg,0.0,-300.0,107.0,Stimuli/Fractals/16a.jpg,0.0,-300.0,0
70,71,4,LOC,LLP,TARGET,Stimuli/Fractals/80b.jpg,300.0,0.0,138.0,Stimuli/Fractals/80b.jpg,300.0,0.0,0
71,72,4,LOC,OLP,FOIL,Stimuli/Fractals/28a.jpg,300.0,0.0,109.0,Stimuli/Fractals/28a.jpg,-300.0,0.0,0
72,73,5,OBJ,OLP,LURE,Stimuli/Fractals/27a.jpg,-212.1320344,212.1320344,128.0,Stimuli/Fractals/27c.jpg,-212.1320344,212.1320344,0
73,74,5,OBJ,FOIL,FOIL,Stimuli/Fractals/31b.jpg,-161.9251974,252.5474816,0.0,nan,0.0,0.0,0
74,75,5,OBJ,ERP,TARGET,Stimuli/Fractals/112c.jpg,0.0,300.0,116.0,Stimuli/Fractals/112c.jpg,0.0,300.0,0
75,76,5,OBJ,ERP,TARGET,Stimuli/Fractals/101c.jpg,0.0,300.0,123.0,Stimuli/Fractals/101c.jpg,0.0,300.0,0
76,77,5,OBJ,FOIL,FOIL,Stimuli/Fractals/104b.jpg,-276.8287333,-115.6107798,0.0,nan,0.0,0.0,0
77,78,5,OBJ,FOIL,FOIL,Stimuli/Fractals/75b.jpg,274.0636373,122.0209929,0.0,nan,0.0,0.0,0
