TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
54,3000,,3,OBJ,LURE,stimuli/fractals/108a.jpg,375.0,225.0,65.0,OLP,stimuli/fractals/108b.jpg,375.0,225.0,stimuli/fractals/108b.jpg,stimuli/fractals/108c.jpg,stimuli/fractals/108a.jpg,375.0,225.0,375.0,75.0,225.0,225.0,-375.0,-75.0
55,2000,,4,LOC,LURE,stimuli/fractals/128b.jpg,225.0,-75.0,118.0,LLP,stimuli/fractals/128b.jpg,225.0,-225.0,stimuli/fractals/128b.jpg,stimuli/fractals/128c.jpg,stimuli/fractals/128a.jpg,225.0,-225.0,75.0,-225.0,225.0,-75.0,-375.0,75.0
56,4000,,4,LOC,LURE,stimuli/fractals/103a.jpg,-75.0,-75.0,68.0,OLP,stimuli/fractals/103a.jpg,-75.0,75.0,stimuli/fractals/103a.jpg,stimuli/fractals/103c.jpg,stimuli/fractals/103b.jpg,-75.0,75.0,-225.0,75.0,-75.0,-75.0,375.0,-225.0
57,4000,,4,LOC,LURE,stimuli/fractals/117b.jpg,-75.0,-225.0,92.0,ERP,stimuli/fractals/117b.jpg,-225.0,-225.0,stimuli/fractals/117b.jpg,stimuli/fractals/117a.jpg,stimuli/fractals/117c.jpg,-225.0,-225.0,-225.0,-75.0,-75.0,-225.0,375.0,225.0
58,1000,,4,LOC,FOIL,stimuli/fractals/35b.jpg,-375.0,225.0,70.0,OLP,stimuli/fractals/35b.jpg,75.0,-225.0,stimuli/fractals/35b.jpg,stimuli/fractals/35c.jpg,stimuli/fractals/35a.jpg,75.0,-225.0,75.0,-75.0,-75.0,-225.0,-375.0,225.0
59,5000,,4,LOC,FOIL,stimuli/fractals/22a.jpg,375.0,-225.0,121.0,LLP,stimuli/fractals/22a.jpg,-75.0,225.0,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,stimuli/fractals/22c.jpg,-75.0,225.0,-75.0,75.0,75.0,225.0,375.0,-225.0
60,3000,,4,LOC,LURE,stimuli/fractals/62b.jpg,75.0,-75.0,76.0,OLP,stimuli/fractals/62b.jpg,-75.0,-75.0,stimuli/fractals/62b.jpg,stimuli/fractals/62a.jpg,stimuli/fractals/62c.jpg,-75.0,-75.0,-75.0,75.0,75.0,-75.0,375.0,225.0
61,1000,,4,LOC,TARGET,stimuli/fractals/56a.jpg,-75.0,75.0,130.0,LLP,stimuli/fractals/56a.jpg,-75.0,75.0,stimuli/fractals/56a.jpg,stimuli/fractals/56c.jpg,stimuli/fractals/56b.jpg,-75.0,75.0,75.0,75.0,-75.0,-75.0,375.0,-225.0
62,1000,,4,LOC,TARGET,stimuli/fractals/30b.jpg,-225.0,75.0,78.0,OLP,stimuli/fractals/30b.jpg,-225.0,75.0,stimuli/fractals/30b.jpg,stimuli/fractals/30a.jpg,stimuli/fractals/30c.jpg,-225.0,75.0,-225.0,225.0,-225.0,-75.0,375.0,-75.0
63,1000,,4,LOC,FOIL,stimuli/fractals/54c.jpg,375.0,-225.0,131.0,LLP,stimuli/fractals/54c.jpg,-375.0,75.0,stimuli/fractals/54c.jpg,stimuli/fractals/54b.jpg,stimuli/fractals/54a.jpg,-375.0,75.0,-375.0,-75.0,-375.0,225.0,375.0,-225.0
64,1000,,4,LOC,LURE,stimuli/fractals/12b.jpg,-75.0,-225.0,86.0,OLP,stimuli/fractals/12b.jpg,-225.0,-225.0,stimuli/fractals/12b.jpg,stimuli/fractals/12c.jpg,stimuli/fractals/12a.jpg,-225.0,-225.0,-225.0,-75.0,-75.0,-225.0,375.0,225.0
65,2000,,4,LOC,LURE,stimuli/fractals/21c.jpg,-375.0,75.0,88.0,OLP,stimuli/fractals/21c.jpg,-375.0,225.0,stimuli/fractals/21c.jpg,stimuli/fractals/21a.jpg,stimuli/fractals/21b.jpg,-375.0,225.0,-225.0,225.0,-375.0,75.0,75.0,-225.0
66,1000,,4,LOC,TARGET,stimuli/fractals/127b.jpg,75.0,-225.0,93.0,OLP,stimuli/fractals/127b.jpg,75.0,-225.0,stimuli/fractals/127b.jpg,stimuli/fractals/127a.jpg,stimuli/fractals/127c.jpg,75.0,-225.0,225.0,-225.0,-75.0,-225.0,375.0,225.0
67,4000,,4,LOC,LURE,stimuli/fractals/20b.jpg,-75.0,225.0,98.0,ERP,stimuli/fractals/20b.jpg,-225.0,225.0,stimuli/fractals/20b.jpg,stimuli/fractals/20c.jpg,stimuli/fractals/20a.jpg,-225.0,225.0,-375.0,225.0,-75.0,225.0,375.0,-225.0
68,2000,,4,LOC,LURE,stimuli/fractals/43a.jpg,75.0,-225.0,106.0,ERP,stimuli/fractals/43a.jpg,225.0,-225.0,stimuli/fractals/43a.jpg,stimuli/fractals/43b.jpg,stimuli/fractals/43c.jpg,225.0,-225.0,225.0,-75.0,75.0,-225.0,-375.0,75.0
69,3000,,4,LOC,LURE,stimuli/fractals/99a.jpg,-75.0,-225.0,110.0,ERP,stimuli/fractals/99a.jpg,-75.0,-75.0,stimuli/fractals/99a.jpg,stimuli/fractals/99c.jpg,stimuli/fractals/99b.jpg,-75.0,-75.0,-225.0,-75.0,-75.0,-225.0,375.0,225.0
70,500,,4,LOC,TARGET,stimuli/fractals/37a.jpg,375.0,-75.0,107.0,OLP,stimuli/fractals/37a.jpg,375.0,-75.0,stimuli/fractals/37a.jpg,stimuli/fractals/37c.jpg,stimuli/fractals/37b.jpg,375.0,-75.0,225.0,-75.0,375.0,-225.0,-375.0,225.0
71,1000,,4,LOC,TARGET,stimuli/fractals/40a.jpg,375.0,225.0,138.0,LLP,stimuli/fractals/40a.jpg,375.0,225.0,stimuli/fractals/40a.jpg,stimuli/fractals/40c.jpg,stimuli/fractals/40b.jpg,375.0,225.0,225.0,225.0,375.0,75.0,-375.0,-225.0
72,2000,,4,LOC,FOIL,stimuli/fractals/50c.jpg,-375.0,225.0,109.0,OLP,stimuli/fractals/50c.jpg,225.0,75.0,stimuli/fractals/50c.jpg,stimuli/fractals/50a.jpg,stimuli/fractals/50b.jpg,225.0,75.0,375.0,75.0,225.0,225.0,-375.0,225.0
73,1000,,5,OBJ,LURE,stimuli/fractals/83c.jpg,375.0,75.0,128.0,OLP,stimuli/fractals/83b.jpg,375.0,75.0,stimuli/fractals/83b.jpg,stimuli/fractals/83a.jpg,stimuli/fractals/83c.jpg,375.0,75.0,375.0,-75.0,375.0,225.0,-225.0,-225.0
74,2000,,5,OBJ,FOIL,stimuli/fractals/126c.jpg,375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
